Intitulé établissement;Unité du salarié;Matricule;Nom;Prénom;Nombre Ind. Déplac. 82000;Montant salarial Ind. Déplac. 82000;Nombre Ind. Déplac. 82250;Montant salarial Ind. Déplac. 82250;Nombre Ind. Déplac. 83250;Montant salarial Ind. Déplac. 83250;Nombre ind. dépl. 82010;Montant salarial ind. dépl. 82010; Nombre ind. Dépl. 82100;Montant salarial  ind. Dépl. 82100; Nombre ind. Dépl. 82500;Montant salarial  ind. Dépl. 82500; Nombre ind. Dépl. 83100;Montant salarial  ind. Dépl. 83100; Nombre ind. Dépl. 83110;Montant salarial  ind. Dépl. 83110; Nombre ind. Dépl. 83300;Montant salarial  ind. Dépl. 83300; Nombre ind. Dépl. 83550;Montant salarial  ind. Dépl. 83550; Nombre ind. Dépl. 83750;Montant salarial  ind. Dépl. 83750;Date départ
HIGH TECH INTELLIGENCE;DIVE;420;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;425;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;426;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;454;;;0;0;0;0;0;0;0;0;0;0;0;0;7;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;472;;;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;478;;;0;0;0;0;0;0;0;0;0;0;0;0;18;108;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;479;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;480;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;481;;;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;503;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;240;0;0;0;0;0;0;    05/04/21
HIGH TECH INTELLIGENCE;AUTR;527;;;22;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;567;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;569;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;587;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;599;;;0;0;0;0;0;0;0;0;0;0;0;0;10;60;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;619;;;0;0;0;0;0;0;0;0;0;0;0;0;23;207;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;621;;;0;0;0;0;0;0;0;0;0;0;0;0;15;90;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;628;;;0;0;0;0;0;0;0;0;0;0;0;0;13;78;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;633;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;636;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;654;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;664;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;666;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;680;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;120;0;0;0;0;0;0;    09/04/21
HIGH TECH INTELLIGENCE;AUTR;689;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;691;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    03/05/21
HIGH TECH INTELLIGENCE;DIVE;692;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;695;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;696;;;0;0;0;0;0;0;0;0;0;0;0;0;15;90;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;702;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;711;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;717;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;740;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;742;;;0;0;0;0;0;0;0;0;0;0;0;0;10;60;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;749;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;750;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;759;;;0;0;0;0;0;0;0;0;0;0;0;0;20;120;20;120;0;0;0;0;0;0;    19/04/21
HIGH TECH INTELLIGENCE;DIVE;772;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;774;;;0;0;0;0;0;0;0;0;0;0;0;0;22;132;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;780;;;0;0;0;0;0;0;0;0;0;0;0;0;16;96;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;790;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;801;;;0;0;0;0;0;0;0;0;0;0;0;0;23;943;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;809;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;811;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;814;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;844;;;0;0;0;0;0;0;0;0;0;0;0;0;10;60;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;846;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;847;;;23;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;864;;;0;0;0;0;0;0;0;0;0;0;0;0;17;102;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;865;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;867;;;0;0;0;0;0;0;0;0;0;0;0;0;11;66;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;872;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;883;;;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;885;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;896;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;911;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;933;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;940;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;953;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;954;;;0;0;0;0;0;0;0;0;0;0;0;0;15;90;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;955;;;0;0;0;0;0;0;0;0;0;0;0;0;6;36;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;962;;;0;0;0;0;0;0;0;0;0;0;0;0;18;108;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;968;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;970;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;978;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;982;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;988;;;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1015;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1016;;;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1023;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1026;;;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1032;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1043;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1044;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1055;;;0;0;0;0;0;0;0;0;0;0;0;0;22;132;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1067;;;21;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1068;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1081;;;0;0;0;0;0;0;0;0;0;0;0;0;23;207;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1086;;;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1087;;;0;0;0;0;0;0;0;0;0;0;0;0;19;114;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1088;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1089;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1100;;;0;0;0;0;0;0;0;0;0;0;0;0;18;108;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1117;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1119;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1120;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1121;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;120;0;0;0;0;0;0;    22/04/21
HIGH TECH INTELLIGENCE;DIVE;1132;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1141;;;0;0;0;0;0;0;0;0;0;0;0;0;16;96;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1143;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1145;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1151;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1154;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1156;;;0;0;0;0;0;0;0;0;0;0;0;0;13;78;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1158;;;0;0;0;0;0;0;0;0;0;0;0;0;11;66;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1166;;;0;0;0;0;0;0;0;0;0;0;0;0;22;132;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1168;;;0;0;0;0;0;0;0;0;0;0;0;0;15;90;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1172;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;130;0;0;0;0;0;0;    30/04/21
HIGH TECH INTELLIGENCE;DIVE;1177;;;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1178;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1179;;;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1198;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;1199;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    21/01/20
HIGH TECH INTELLIGENCE;DIVE;1200;;;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1205;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1209;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    14/05/21
HIGH TECH INTELLIGENCE;DIVE;1214;;;0;0;0;0;0;0;0;0;0;0;0;0;17;102;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1221;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1225;;;0;0;0;0;0;0;0;0;0;0;0;0;19;114;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1226;;;0;0;0;0;0;0;0;0;0;0;0;0;21;126;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1228;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1231;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;120;0;0;0;0;0;0;    23/04/21
HIGH TECH INTELLIGENCE;DIVE;1244;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1253;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1256;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1261;;;0;0;0;0;0;0;0;0;0;0;0;0;21;126;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1262;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1266;;;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1267;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;    11/05/21
HIGH TECH INTELLIGENCE;DIVE;1275;;;22;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1280;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1284;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1285;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    12/04/21
HIGH TECH INTELLIGENCE;DIVE;1287;;;0;0;0;0;0;0;0;0;0;0;0;0;9;54;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1288;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;1290;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    30/04/21
HIGH TECH INTELLIGENCE;AUTR;1293;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1294;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1296;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1300;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1302;;;25;1025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1306;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1307;;;0;0;0;0;0;0;0;0;0;0;0;0;12;72;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1312;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    12/04/21
HIGH TECH INTELLIGENCE;DIVE;1314;;;0;0;0;0;0;0;0;0;0;0;0;0;4;24;0;0;0;0;0;0;0;0;    31/05/21
HIGH TECH INTELLIGENCE;DIVE;1315;;;23;943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1316;;;0;0;0;0;0;0;0;0;0;0;0;0;13;78;0;0;0;0;0;0;0;0;    31/08/21
HIGH TECH INTELLIGENCE;DIVE;1317;;;0;0;0;0;0;0;0;0;0;0;0;0;23;138;0;0;0;0;0;0;0;0;    31/05/21
HIGH TECH INTELLIGENCE;AUTR;1318;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1319;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1328;;;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1330;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1331;;;0;0;0;0;0;0;0;0;0;0;0;0;22;132;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1332;;;0;0;0;0;0;0;0;0;0;0;0;0;4;24;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1333;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;    13/04/21
HIGH TECH INTELLIGENCE;AUTR;1335;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1337;;;0;0;0;0;0;0;0;0;0;0;0;0;22;132;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1338;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;1344;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1345;;;0;0;0;0;0;0;0;0;0;0;0;0;12;72;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1351;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1352;;;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;    28/05/21
HIGH TECH INTELLIGENCE;AUTR;1353;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1356;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1357;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1358;;;21;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1360;;;20;820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1363;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1365;;;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;1366;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1367;;;0;0;0;0;0;0;0;0;0;0;0;0;14;84;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1368;;;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1375;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1376;;;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1377;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1379;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1380;;;22;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1381;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;DIVE;1382;;;22;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
HIGH TECH INTELLIGENCE;AUTR;1383;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;            
